İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Yakıt Tipi,Yetkili Ofis,Cephe,Site İçerisinde,Depozito,Krediye Uygunluk,Tapu Durumu,Takas
50569-5007,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",3. Kat,32 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,,,,,,
136926-9,30-03-2023,None,None,3 + 1,"
                          147 m2
                        ",17. Kat,7 Yaşında,Merkezi,29 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,1 TL,Doğalgaz,Evet,Güney,Emlak Konut Başakşehir Evleri,4.000 TL,,,
136321-1,28-03-2023,None,None,2 + 1,"
                          120 m2
                        ",Giriş Katı,20 Yaşında,Kombi,3 Katlı,Eşyalı,1,Taş Bina,İkinci El,Boş,100 TL,Doğalgaz,Evet,,,25.000 TL,,,
136782-6,24-03-2023,None,None,2 + 1,"
                          115 m2
                        ",4. Kat,2 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,Elektrik,Evet,"Kuzey, Güney, Batı",Genyap 7000 Kağıthane,,,,
124862-173,24-03-2023,None,None,3 + 1,"
                          150 m2
                        ",4. Kat,1 Yaşında,Kombi,5 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,"Güney, Doğu",,68.000 TL,,,
110767-162,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Giriş Katı,25 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Doğu,Yonca Sitesi,14.000 TL,,,
2312-23070,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Yüksek Giriş,11 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,750 TL,Doğalgaz,Evet,"Kuzey, Doğu",,20.000 TL,,,
2608-4275,28-03-2023,None,None,7 + 1,"
                          320 m2
                        ",4. Kat,21 Yaşında,Kombi,4 Katlı,Eşyalı Değil,3,Betonarme,,Mülk Sahibi,1.500 TL,Doğalgaz,,"Güney, Doğu, Batı",,473.800 TL,,,
136567-14,31-03-2023,None,None,3 + 1,"
                          180 m2
                        ",14. Kat,Sıfır Bina,Yerden Isıtma,17 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",Evet (Site Adı Belirtilmemiş),60.000 TL,,,
128054-180,31-03-2023,None,None,2 + 1,"
                          120 m2
                        ",2. Kat,22 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,22.000 TL,,,
6712-1381,31-03-2023,None,None,1 + 1,"
                          110 m2
                        ",5. Kat,40 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Doğu,,23.000 TL,,,
129657-234,31-03-2023,None,None,3 + 1,"
                          150 m2
                        ",4. Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,,İkinci El,Boş,60 TL,Doğalgaz,Evet,"Doğu, Batı",,8.500 TL,,,
3568-7802,31-03-2023,None,None,1 + 0,"
                          54 m2
                        ",5. Kat,4 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,477 TL,Doğalgaz,Evet,,,16.800 TL,,,
15308-821,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",3. Kat,40 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
52328-337,31-03-2023,None,None,3 + 1,"
                          175 m2
                        ",4. Kat,20 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,,,,
3448-14118,30-03-2023,None,None,3 + 1,"
                          130 m2
                        ",2. Kat,30 Yaşında,Merkezi,13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,38.000 TL,,,
136926-3,29-03-2023,None,None,3 + 1,"
                          160 m2
                        ",17. Kat,7 Yaşında,Merkezi (Pay Ölçer),29 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,1 TL,Doğalgaz,Evet,"Kuzey, Güney",Adım İstanbul Rezidans,7.000 TL,,,
121490-245,25-03-2023,None,None,2 + 1,"
                          110 m2
                        ",Bahçe Katı,4 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,,,Boş,50 TL,,,,,,,,
2312-23252,30-03-2023,None,None,2 + 1,"
                          80 m2
                        ",2. Kat,24 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,15.000 TL,,,
2312-23250,27-03-2023,None,None,2 + 1,"
                          75 m2
                        ",3. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,200 TL,Doğalgaz,Evet,"Güney, Doğu",,15.000 TL,,,
2312-23253,28-03-2023,None,None,2 + 1,"
                          180 m2
                        ",Yüksek Giriş,15 Yaşında,Merkezi,2 Katlı,Eşyalı Değil,1,Ahşap,İkinci El,Boş,,Doğalgaz,Evet,Güney,,60.000 TL,,,
2312-23166,28-03-2023,None,None,2 + 1,"
                          102 m2
                        ",4. Kat,37 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,18.000 TL,Doğalgaz,Evet,Doğu,,25.000 TL,,,
2312-23200,30-03-2023,None,None,3 + 1,"
                          180 m2
                        ",3. Kat,3 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,,,Boş,,,,Güney,,,Uygun değil,,
135414-10,30-03-2023,None,None,2 + 1,"
                          135 m2
                        ",1. Kat,21 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,,,,
53471-272,30-03-2023,None,None,2 + 1,"
                          100 m2
                        ",4. Kat,26 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,150 TL,Doğalgaz,Evet,"Güney, Doğu, Batı",,25.000 TL,,,
74348-5327,28-03-2023,None,None,4 + 1,"
                          189 m2
                        ",1. Kat,38 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,,Boş,,Doğalgaz,Evet,Güney,,,,,
115162-310,30-03-2023,None,None,3 + 1,"
                          150 m2
                        ",5. Kat,15 Yaşında,Kombi,10 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,,"Kuzey, Güney, Doğu, Batı",,2 TL,,,
124862-319,29-03-2023,None,None,2 + 1,"
                          90 m2
                        ",1. Kat,12 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.500 TL,Doğalgaz,Evet,"Güney, Doğu",,30.000 TL,,,
124862-259,29-03-2023,None,None,2 + 1,"
                          110 m2
                        ",1. Kat,1 Yaşında,Merkezi (Pay Ölçer),3 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,1.900 TL,Doğalgaz,Evet,"Doğu, Batı",,60.000 TL,,,
101981-109,30-03-2023,None,None,3 + 1,"
                          150 m2
                        ",2. Kat,20 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,,,,
36618-13326,28-03-2023,None,None,1 + 1,"
                          75 m2
                        ",1. Kat,5 Yaşında,Kombi,6 Katlı,Eşyalı,1,,,Boş,,,,,,,,,
36618-13325,28-03-2023,None,None,2 + 1,"
                          95 m2
                        ",5. Kat,25 Yaşında,Kombi,6 Katlı,,1,,,,,,,,,,,,
134149-19,28-03-2023,None,None,1 + 1,"
                          85 m2
                        ",14. Kat,2 Yaşında,Merkezi (Pay Ölçer),18 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,20.000 TL,,,
87689-1791,28-03-2023,None,None,2 + 1,"
                          90 m2
                        ",4. Kat,17 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,150 TL,Doğalgaz,Evet,"Doğu, Batı",,15.000 TL,,,
88555-3749,27-03-2023,None,None,1 + 1,"
                          65 m2
                        ",5. Kat,3 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,100 TL,Doğalgaz,Evet,Güney,,,,,
123494-168,31-03-2023,None,None,2 + 1,"
                          80 m2
                        ",Giriş Katı,9 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,270 TL,Doğalgaz,Evet,"Güney, Doğu",Evet (Site Adı Belirtilmemiş),16.000 TL,,,
7417-5026,27-03-2023,None,None,3 + 1,"
                          140 m2
                        ",4. Kat,30 Yaşında,Merkezi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,250 TL,Doğalgaz,,Güney,,16.000 TL,,,
14682-1107,28-03-2023,None,None,3 + 1,"
                          140 m2
                        ",3. Kat,40 Yaşında,Kombi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,300 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,16.000 TL,,,
0-40519579,26-03-2023,None,None,1 + 0,"
                          40 m2
                        ",Ara Kat,7 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,1 TL,Doğalgaz,,"Kuzey, Güney, Doğu, Batı",,1 TL,,,
44577-1574,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",2. Kat,5 Yaşında,Kombi,17 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,1.500 TL,Doğalgaz,Evet,,full ada sitesi ,36.000 TL,,,
136782-12,31-03-2023,None,None,2 + 1,"
                          105 m2
                        ",9. Kat,3 Yaşında,Merkezi (Pay Ölçer),23 Katlı,,1,Betonarme,Sıfır,Boş,,Elektrik,Evet,"Güney, Batı",Evin Park Kadıköy Rezidans,,,,
97573-358,31-03-2023,None,None,3 + 1,"
                          135 m2
                        ",1. Kat,26 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Güney, Doğu",,8.000 TL,,,
2216-6136,31-03-2023,None,None,4 + 1,"
                          300 m2
                        ",Bahçe Katı,10 Yaşında,Kombi,2 Katlı,Eşyalı Değil,4,Betonarme,,Boş,,Doğalgaz,Evet,Güney,,,,,
76342-6020,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",2. Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Güney, Doğu",,10.000 TL,,,
136567-19,31-03-2023,None,None,3 + 1,"
                          145 m2
                        ",3. Kat,Sıfır Bina,Yerden Isıtma,5 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",Evet (Site Adı Belirtilmemiş),32.000 TL,,,
121077-409,31-03-2023,None,None,2 + 1,"
                          85 m2
                        ",5. Kat,15 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,"Güney, Doğu",,12.500 TL,,,
65405-650,31-03-2023,None,None,4 + 1,"
                          180 m2
                        ",5. Kat,50 Yaşında,Merkezi,13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.650 TL,Doğalgaz,Evet,"Güney, Batı",,56.000 TL,,,
123806-126,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,10.000 TL,,,
115060-699,31-03-2023,None,None,4 + 1,"
                          180 m2
                        ",8. Kat,21 Yaşında,Merkezi,12 Katlı,Eşyalı Değil,1,,,Boş,600 TL,,,"Kuzey, Güney, Doğu",,,Uygun değil,,
5632-7869,31-03-2023,None,None,3 + 1,"
                          140 m2
                        ",6. Kat,31 Yaşında,Merkezi,9 Katlı,Eşyalı Değil,1,,,Boş,300 TL,,,Güney,,,,,
106678-965,31-03-2023,None,None,3 + 1,"
                          165 m2
                        ",En Üst Kat,25 Yaşında,Kombi,15 Katlı,,1,Betonarme,,Mülk Sahibi,500 TL,Doğalgaz,Evet,"Güney, Doğu, Batı",,,,,
17780-18768,31-03-2023,None,None,4 + 1,"
                          240 m2
                        ",3. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,,,,
6485-6256,31-03-2023,None,None,2 + 1,"
                          115 m2
                        ",Ara Kat,24 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,,,,
14965-749,31-03-2023,None,None,3 + 1,"
                          130 m2
                        ",11. Kat,45 Yaşında,Merkezi,12 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,1.500 TL,Doğalgaz,Evet,"Güney, Batı",,25.000 TL,,,
46572-10081,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",10. Kat,4 Yaşında,Kombi,14 Katlı,Eşyalı,1,,,Boş,1.1 TL,,,"Doğu, Batı",,,,,
124093-250,31-03-2023,None,None,3 + 1,"
                          120 m2
                        ",4. Kat,4 Yaşında,Kombi,8 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,250 TL,Doğalgaz,Evet,Güney,,30.000 TL,,,
126464-355,31-03-2023,None,None,3 + 1,"
                          140 m2
                        ",4. Kat,Sıfır Bina,Kombi,13 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,500 TL,Doğalgaz,Evet,Güney,,,,,
28284-3449,31-03-2023,None,None,4 + 1,"
                          260 m2
                        ",Çatı Katı,16 Yaşında,Kombi,7 Katlı,,2,,,,,Doğalgaz,Evet,Güney,,,,,
123475-166,31-03-2023,None,None,4 + 1,"
                          170 m2
                        ",1. Kat,14 Yaşında,Kombi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,3.000 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu",Mia Boutique,76.000 TL,,,
76366-69,31-03-2023,None,None,3 + 1,"
                          150 m2
                        ",3. Kat,14 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,60 TL,Doğalgaz,Evet,"Güney, Doğu",,10.000 TL,,,
53165-27609,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",3. Kat,2 Yaşında,Kombi,7 Katlı,,1,,,Mülk Sahibi,,Doğalgaz,,,,,,,
128883-189,31-03-2023,None,None,4 + 1,"
                          250 m2
                        ",4. Kat,6 Yaşında,Kombi,6 Katlı,,3,Betonarme,İkinci El,Boş,,Doğalgaz,,"Güney, Doğu",Sofa Bahçeşehir Rezidans,80.000 TL,,,
73663-5436,31-03-2023,None,None,3 + 1,"
                          125 m2
                        ",4. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,50 TL,Doğalgaz,Evet,"Güney, Doğu",,26.000 TL,,,
40430-3660,31-03-2023,None,None,2 + 1,"
                          75 m2
                        ",4. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,,Doğalgaz,Evet,Güney,,24.500 TL,,,
132091-128,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",Teras Katı,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,24.000 TL,,,
133496-11,31-03-2023,None,None,4 + 1,"
                          150 m2
                        ",Ara Kat,32 Yaşında,Merkezi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,700 TL,Doğalgaz,Evet,Doğu,,25.000 TL,,,
130289-26,31-03-2023,None,None,3 + 1,"
                          120 m2
                        ",1. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,800 TL,Doğalgaz,Evet,Güney,,,,,
31303-139767,31-03-2023,None,None,3 + 2,"
                          236 m2
                        ",3. Kat,26 Yaşında,Merkezi,4 Katlı,Eşyalı,2,,,Boş,,,,"Güney, Doğu, Batı",,,,,
2467-24232,31-03-2023,None,None,4 + 1,"
                          198 m2
                        ",5. Kat,26 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,70.000 TL,,,
5393-1952,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",10. Kat,3 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,1.300 TL,Doğalgaz,Evet,"Kuzey, Batı",Mesa Cadde Rezidans,20.000 TL,,,
77755-1493,31-03-2023,None,None,2 + 1,"
                          96 m2
                        ",1. Kat,3 Yaşında,Kombi,14 Katlı,Eşyalı,2,Betonarme,,Kiracılı,1.099 TL,Doğalgaz,Evet,,,,,,
41169-793,31-03-2023,None,None,2 + 1,"
                          110 m2
                        ",Yarı Bodrum,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,140 TL,Doğalgaz,Evet,"Doğu, Batı",,40.000 TL,,,
30863-8706,31-03-2023,None,None,2 + 1,"
                          70 m2
                        ",Giriş Katı,31 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney",,6.500 TL,,,
76675-702,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",En Üst Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,Doğalgaz,Evet,Güney,,7.250 TL,,,
43372-2387,31-03-2023,None,None,3 + 2,"
                          200 m2
                        ",4. Kat,12 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Kuzey,,26.000 TL,,,
109138-299,31-03-2023,None,None,3 + 1,"
                          140 m2
                        ",4. Kat,35 Yaşında,Merkezi,6 Katlı,,2,Betonarme,İkinci El,Boş,200 TL,Doğalgaz,Evet,,,20.000 TL,,,
2908-9260,31-03-2023,None,None,3 + 1,"
                          120 m2
                        ",4. Kat,5 Yaşında,Kombi,12 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,Doğalgaz,Evet,"Güney, Doğu, Batı",,,,,
122804-171,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",3. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu",,17.500 TL,,,
4497-3785,31-03-2023,None,None,2 + 1,"
                          110 m2
                        ",4. Kat,35 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,,,Boş,,,Evet,,,13.000 TL,,,
91714-680,31-03-2023,None,None,3 + 1,"
                          120 m2
                        ",2. Kat,25 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,16.000 TL,,,
77582-1099,31-03-2023,None,None,3 + 1,"
                          125 m2
                        ",6. Kat,30 Yaşında,Merkezi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,400 TL,Doğalgaz,Evet,"Güney, Batı",,50.000 TL,,,
19553-2613,31-03-2023,None,None,3 + 1,"
                          180 m2
                        ",4. Kat,35 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
131539-75,31-03-2023,None,None,2 + 1,"
                          110 m2
                        ",1. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,1 TL,,,
52307-3851,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Kot 1,5 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,60 TL,Doğalgaz,Evet,"Güney, Doğu",,7.000 TL,,,
121012-521,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",1. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Güney, Doğu",,,,,
134549-180,31-03-2023,None,None,1 + 1,"
                          70 m2
                        ",En Üst Kat,10 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Batı",,25.000 TL,,,
1200-4157,31-03-2023,None,None,2 + 1,"
                          110 m2
                        ",4. Kat,45 Yaşında,Kombi,5 Katlı,,1,,,Boş,,Doğalgaz,Evet,,,,,,
42771-6382,31-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Kot 2,5 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,Evet,Güney,,15.000 TL,,,
110844-4581,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",3. Kat,30 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,200 TL,Doğalgaz,Evet,"Güney, Batı",,20.000 TL,,,
4753-16511,31-03-2023,None,None,4 + 1,"
                          240 m2
                        ",Bahçe Katı,20 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Doğu, Batı",,,,,
4336-1314,31-03-2023,None,None,3 + 1,"
                          110 m2
                        ",2. Kat,20 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Doğu, Batı",,20.000 TL,,,
4535-6203,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",Bahçe Katı,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,Doğalgaz,,"Güney, Doğu",,10.000 TL,,,
83771-518,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",2. Kat,31 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,,Boş,,Doğalgaz,Evet,"Kuzey, Güney",,10.500 TL,,,
44525-1128,31-03-2023,None,None,3 + 1,"
                          120 m2
                        ",En Üst Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,15.000 TL,,,
23051-9212,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",2. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,,,,
76342-6009,31-03-2023,None,None,2 + 1,"
                          88 m2
                        ",Zemin,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Güney,,10.000 TL,,,
17780-18748,31-03-2023,None,None,4 + 1,"
                          250 m2
                        ",1. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,,Boş,,Doğalgaz,Evet,,,,,,
46572-9758,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",3. Kat,5 Yaşında,VRV,14 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,1.100 TL,Elektrik,Evet,"Güney, Batı",,40.000 TL,,,
132091-107,31-03-2023,None,None,3 + 1,"
                          160 m2
                        ",Ara Kat,15 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,,,Doğalgaz,,"Kuzey, Güney, Doğu, Batı",,25.000 TL,,,
65405-643,31-03-2023,None,None,3 + 1,"
                          180 m2
                        ",12. Kat,45 Yaşında,Merkezi,13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,800 TL,Doğalgaz,Evet,"Güney, Batı",,60.000 TL,,,
134057-32,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",3. Kat,8 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,500 TL,Doğalgaz,Evet,Doğu,,17.000 TL,,,
134632-36,31-03-2023,None,None,3 + 1,"
                          200 m2
                        ",2. Kat,11 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,,,Boş,1.5 TL,,,"Kuzey, Güney, Doğu, Batı",,,Uygun değil,,
8322-2476,31-03-2023,None,None,1 + 1,"
                          75 m2
                        ",1. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Güney,,10.500 TL,,,
100071-607,31-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Ara Kat,10 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,8.250 TL,,,
77755-1429,31-03-2023,None,None,3 + 1,"
                          156 m2
                        ",17. Kat,2 Yaşında,Kombi,23 Katlı,Eşyalı,2,Betonarme,,Kiracılı,1.680 TL,Doğalgaz,Evet,,,,,,
45057-740,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",3. Kat,27 Yaşında,Merkezi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Doğu,,,,,
103214-846,31-03-2023,None,None,3 + 1,"
                          110 m2
                        ",5. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,15.000 TL,,,
44577-1530,31-03-2023,None,None,3 + 2,"
                          170 m2
                        ",5. Kat,7 Yaşında,Kombi,5 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,65 TL,Doğalgaz,Evet,,,40.000 TL,,,
1599-10323,31-03-2023,None,None,3 + 1,"
                          115 m2
                        ",2. Kat,34 Yaşında,Kombi,5 Katlı,,1,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,Evet,Güney,,,,,
31303-139761,31-03-2023,None,None,3 + 1,"
                          135 m2
                        ",2. Kat,26 Yaşında,Merkezi,5 Katlı,Eşyalı,2,,,Boş,,,,"Kuzey, Güney, Doğu, Batı",,,,,
133809-13,31-03-2023,None,None,4 + 1,"
                          300 m2
                        ",Çatı Katı,5 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Eşyalı Değil,3,Betonarme,Sıfır,Kiracılı,,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,,,,
76675-693,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Bahçe Katı,35 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,,Boş,50 TL,Doğalgaz,Evet,"Güney, Doğu",,6.500 TL,,,
3568-7780,31-03-2023,None,None,3 + 1,"
                          90 m2
                        ",1. Kat,3 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,120 TL,Doğalgaz,Evet,,,8.800 TL,,,
