İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Yakıt Tipi,Yetkili Ofis,Cephe,Site İçerisinde,Depozito,Krediye Uygunluk,Tapu Durumu,Takas
18009-3491,28-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Ara Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Kuzey, Güney",,9.000 TL,,,
23301-839,27-03-2023,None,None,2 + 1,"
                          90 m2
                        ",3. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,,Boş,150 TL,Doğalgaz,Evet,,,20.000 TL,,,
109456-714,30-03-2023,None,None,1 + 1,"
                          65 m2
                        ",Kot 1,4 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,,Boş,,Doğalgaz,,,,,,,
118119-329,28-03-2023,None,None,3 + 1,"
                          105 m2
                        ",2. Kat,39 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Doğu,,18.000 TL,,,
122721-322,25-03-2023,None,None,3 + 2,"
                          280 m2
                        ",En Üst Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,50 TL,Doğalgaz,Evet,"Güney, Doğu",,10.000 TL,,,
8798-2182,30-03-2023,None,None,2 + 1,"
                          100 m2
                        ",Yüksek Giriş,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,"Kuzey, Güney",,15.000 TL,,,
2915-7142,25-03-2023,None,None,3 + 1,"
                          150 m2
                        ",2. Kat,8 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,,,,
89328-17441,30-03-2023,None,None,1 + 1,"
                          65 m2
                        ",6. Kat,2 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Eşyalı Değil,1,,,Boş,,,,"Güney, Batı",Avangart İstanbul,,Uygun değil,,
107215-1281,30-03-2023,None,None,1 + 1,"
                          80 m2
                        ",En Üst Kat,36 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,8.000 TL,,,
5459-4775,28-03-2023,None,None,2 + 1,"
                          90 m2
                        ",3. Kat,26 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,,Boş,,Doğalgaz,Evet,,,,,,
132179-62,28-03-2023,None,None,1 + 1,"
                          65 m2
                        ",3. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,11,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,,"Güney, Batı",,9.000 TL,,,
