İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Depozito,Yakıt Tipi,Yetkili Ofis,Price,Cephe,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas
1625-8664,01-04-2023,None,None,2 + 1,                          75 m2                        ,2. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,11.000 TL,Doğalgaz,Evet,11.000TL,"Güney, Doğu, Batı",,,,
4503-1534,30-03-2023,None,None,2 + 1,                          90 m2                        ,Yüksek Giriş,27 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,750 TL,12.000 TL,Doğalgaz,Evet,12.000TL,,İstinye Boğaziçi Sitesi B Blokları,,,
109138-297,31-03-2023,None,None,3 + 1,                          110 m2                        ,6. Kat,4 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,,İkinci El,,,24.000 TL,Doğalgaz,Evet,24.000TL,,,,,
54389-2063,31-03-2023,None,None,3 + 1,                          110 m2                        ,Yüksek Giriş,Sıfır Bina,Kombi,5 Katlı,Eşyalı Değil,1,,,Boş,,,,,11.500TL,"Güney, Doğu, Batı",,Uygun değil,,
126361-578,29-03-2023,None,None,3 + 1,                          140 m2                        ,Bahçe Katı,9 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Kiracılı,300 TL,42.000 TL,Doğalgaz,,21.500TL,"Güney, Doğu",,,,
2137-26330,31-03-2023,None,None,1 + 1,                          67 m2                        ,2. Kat,7 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.186 TL,8.500 TL,Doğalgaz,Evet,8.500TL,"Güney, Batı",,,,
65982-1934,01-04-2023,None,None,2 + 1,                          80 m2                        ,1. Kat,6 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,33.000 TL,Doğalgaz,Evet,16.500TL,"Güney, Doğu, Batı",,,,
47233-571,27-03-2023,None,None,2 + 1,                          95 m2                        ,3. Kat,40 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40 TL,,Doğalgaz,,10.000TL,"Kuzey, Güney, Doğu, Batı",,,,
124721-903,31-03-2023,None,None,2 + 1,                          80 m2                        ,9. Kat,9 Yaşında,Kombi,11 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,1.000 TL,2 TL,Doğalgaz,Evet,8.000TL,"Güney, Doğu",,,,
4170-3072,30-03-2023,None,None,1 + 1,                          90 m2                        ,12. Kat,7 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı,1,Betonarme,,Boş,1 TL,30.000 TL,Doğalgaz,Evet,10.000TL,Doğu,,,,
3552-1617,29-03-2023,None,None,4 + 1,                          200 m2                        ,Bahçe Katı,26 Yaşında,Kombi,3 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,,60.000 TL,Doğalgaz,Evet,30.000TL,"Güney, Doğu, Batı",,,,
76607-1515,28-03-2023,None,None,1 + 1,                          90 m2                        ,Ara Kat,3 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,,,,Doğalgaz,Evet,27.000TL,Doğu,Koray Bianco,,,
42326-319,28-03-2023,None,None,2 + 1,                          75 m2                        ,14. Kat,11 Yaşında,Kombi,14 Katlı,Eşyalı Değil,1,,,Boş,542 TL,,,,4.750TL,"Kuzey, Doğu",Evet (Site Adı Belirtilmemiş),Uygun değil,,
42692-2277,01-04-2023,None,None,2 + 1,                          95 m2                        ,1. Kat,27 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,8.000 TL,Doğalgaz,Evet,8.250TL,Batı,,,,
99234-746,30-03-2023,None,None,3 + 1,                          130 m2                        ,2. Kat,11 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,1.640 TL,,Doğalgaz,Evet,27.000TL,Güney,,,,
3147-3017,31-03-2023,None,None,2 + 1,                          95 m2                        ,Giriş Katı,16 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,25.000 TL,Doğalgaz,,25.000TL,"Doğu, Batı",,,,
1794-2941,31-03-2023,None,None,2 + 1,                          95 m2                        ,3. Kat,50 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Ahşap,İkinci El,Boş,300 TL,15.000 TL,Doğalgaz,Evet,15.000TL,Güney,,,,
1505-7400,01-04-2023,None,None,3 + 1,                          130 m2                        ,5. Kat,30 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,,Doğalgaz,,15.000TL,"Güney, Doğu",,,,
136754-24,27-03-2023,None,None,1 + 1,                          90 m2                        ,Yüksek Giriş,1 Yaşında,Klima,24 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,15.000TL,"Kuzey, Güney, Doğu, Batı","Via Port Venezia Konutları (İstanbul, Gaziosmanpaşa, Karadeniz)",,,
133234-33,29-03-2023,None,None,1 + 1,                          70 m2                        ,4. Kat,7 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,17.000 TL,Doğalgaz,Evet,8.500TL,Batı,,,,
4312-4749,29-03-2023,None,None,2 + 1,                          120 m2                        ,En Üst Kat,10 Yaşında,Kombi,12 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100 TL,15.000 TL,Doğalgaz,Evet,12.500TL,,,,,
